Error en registro 1: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 53816: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 57817: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 58818: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 59820: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 63821: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 67811: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 71812: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 72813: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 73814: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 76815: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 78816: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 81817: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 82818: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
Error en registro 85819: CP=00000 - 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`test`.`_cat_postal_codes`, CONSTRAINT `_cat_postal_codes_localities_id_state_id_foreign` FOREIGN KEY (`localities_id`, `state_id`) REFERENCES `_cat_localities` (`key_locality`, `state`) ON DE)
